student_id,Name,Age,Address,Email,Course,City,Marks,Admission_date
12,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Chennai,71,2026-04-23
13,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Hyderabad,88,2026-02-12
14,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Hyderabad,93,2025-04-05
15,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Chennai,95,2025-11-14
16,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Bangalore,37,2024-08-27
17,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Hyderabad,90,2025-07-24
18,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Delhi,69,2024-10-13
19,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Delhi,64,2025-11-03
20,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Delhi,65,2025-02-12
21,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Mumbai,60,2024-08-03
22,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Delhi,35,2025-03-25
23,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Delhi,55,2024-07-21
24,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Bangalore,57,2024-08-05
25,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Mumbai,95,2025-10-26
26,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Bangalore,64,2025-10-30
27,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Bangalore,81,2026-04-04
28,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Mumbai,46,2024-07-27
29,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Mumbai,58,2025-05-10
30,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Mumbai,71,2024-06-07
31,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Delhi,52,2025-04-11
32,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Chennai,81,2024-06-06
33,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Chennai,36,2025-05-25
34,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Chennai,58,2025-09-04
35,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Chennai,47,2024-11-23
36,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Delhi,86,2025-06-08
37,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Bangalore,74,2025-05-31
38,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Mumbai,72,2024-06-09
39,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Chennai,68,2026-01-05
40,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Mumbai,65,2025-08-15
41,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Hyderabad,84,2024-08-06
42,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Mumbai,47,2025-12-21
43,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Chennai,40,2024-12-20
44,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Chennai,51,2025-01-16
45,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Hyderabad,44,2024-09-14
46,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Mumbai,87,2025-05-05
47,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Bangalore,63,2026-03-30
48,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Bangalore,89,2025-12-10
49,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Bangalore,65,2024-06-23
50,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Hyderabad,87,2026-05-15
51,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Delhi,38,2025-07-25
52,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Mumbai,79,2026-04-02
53,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Bangalore,52,2024-12-26
54,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Bangalore,62,2024-12-20
55,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Mumbai,99,2025-03-31
56,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Mumbai,87,2025-08-13
57,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Bangalore,47,2024-10-13
58,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Chennai,93,2025-05-08
59,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Hyderabad,39,2025-09-12
60,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Chennai,48,2024-07-10
61,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Delhi,74,2024-06-18
62,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Delhi,90,2025-04-21
63,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Delhi,59,2025-01-08
64,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Mumbai,67,2025-03-22
65,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Delhi,75,2025-12-22
66,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Mumbai,50,2024-08-05
67,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Hyderabad,87,2025-02-13
68,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Delhi,84,2024-06-21
69,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Bangalore,80,2024-10-08
70,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Hyderabad,95,2025-05-22
71,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Hyderabad,46,2024-08-29
72,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Hyderabad,59,2024-06-25
73,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Chennai,39,2025-10-02
74,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Bangalore,92,2026-01-25
75,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Hyderabad,93,2025-01-11
76,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Chennai,50,2026-05-17
77,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Bangalore,49,2026-04-26
78,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Delhi,78,2025-08-18
79,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Delhi,64,2026-05-07
80,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Mumbai,81,2025-07-17
81,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Delhi,50,2025-07-19
82,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Chennai,45,2024-07-20
83,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Hyderabad,77,2026-04-29
84,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Chennai,70,2025-05-23
85,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Bangalore,57,2025-02-10
86,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,19,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Bangalore,54,2024-11-24
87,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Mumbai,47,2025-01-23
